from,to,freq,name,length,geometry_type,id,coordx,coordy
112044,112996,0,POTOMAC,0.095,LineString,a625nga92r96,-77.03677368,38.42631149
NA,NA,NA,NA,NA,NA,a625nga92r96,-76.99427795,38.34135056
115801,115941,3620,POTOMAC,0.026,LineString,a625ngjm8nu2,-76.45749664,38.06697845
NA,NA,NA,NA,NA,NA,a625ngjm8nu2,-76.43372345,38.05580139
114195,114420,6216,POTOMAC,0.051,LineString,a625ngaoc86j,-76.89118958,38.23867035
NA,NA,NA,NA,NA,NA,a625ngaoc86j,-76.84368896,38.22143936
113551,113633,1149,POTOMAC,0.011,LineString,a625ng79anc8,-76.9553833,38.2874794
NA,NA,NA,NA,NA,NA,a625ng79anc8,-76.94648743,38.28022003
108965,109394,2407,POTOMAC,0.046,LineString,a625ngcjtm3c,-77.09590912,38.69364929
NA,NA,NA,NA,NA,NA,a625ngcjtm3c,-77.12896729,38.66225815
113287,113551,4494,POTOMAC,0.043,LineString,a625ngfifzei,-76.98899841,38.31357956
NA,NA,NA,NA,NA,NA,a625ngfifzei,-76.9553833,38.2874794
117087,117057,5986,POTOMAC,0.043,LineString,a625ng8mi0dr,-76.23613739,37.96324158
NA,NA,NA,NA,NA,NA,a625ng8mi0dr,-76.19358063,37.96443939
115444,115801,12809,POTOMAC,0.092,LineString,a625ng68hl4x,-76.53782654,38.11148071
NA,NA,NA,NA,NA,NA,a625ng68hl4x,-76.45749664,38.06697845
109394,109877,1726,POTOMAC,0.033,LineString,a625nghzsrp3,-77.12896729,38.66225815
NA,NA,NA,NA,NA,NA,a625nghzsrp3,-77.12143707,38.62994003
109394,110367,0,POTOMAC,0.131,LineString,a625ngbomigq,-77.12896729,38.66225815
NA,NA,NA,NA,NA,NA,a625ngbomigq,-77.11849976,38.64093018
NA,NA,NA,NA,NA,NA,a625ngbomigq,-77.12143707,38.62994003
NA,NA,NA,NA,NA,NA,a625ngbomigq,-77.13655853,38.62369919
NA,NA,NA,NA,NA,NA,a625ngbomigq,-77.18501282,38.61338043
NA,NA,NA,NA,NA,NA,a625ngbomigq,-77.21151733,38.59943008
112996,113287,2926,POTOMAC,0.028,LineString,a625nghr3pcs,-76.99427795,38.34135056
NA,NA,NA,NA,NA,NA,a625nghr3pcs,-76.98899841,38.31357956
114156,114195,1706,POTOMAC,0.014,LineString,a625nga3f3rb,-76.90441895,38.24174881
NA,NA,NA,NA,NA,NA,a625nga3f3rb,-76.89118958,38.23867035
112434,112996,19022,POTOMAC,0.182,LineString,a625ngh1pgwb,-77.1134491,38.38914871
NA,NA,NA,NA,NA,NA,a625ngh1pgwb,-77.03669739,38.42623901
NA,NA,NA,NA,NA,NA,a625ngh1pgwb,-77.00119781,38.37789154
NA,NA,NA,NA,NA,NA,a625ngh1pgwb,-76.99427795,38.34135056
110367,111045,3296,POTOMAC,0.063,LineString,a625ngffpeby,-77.21151733,38.59943008
NA,NA,NA,NA,NA,NA,a625ngffpeby,-77.25022888,38.54969025
111045,111228,1203,POTOMAC,0.023,LineString,a625nghu1mp3,-77.25022888,38.54969025
NA,NA,NA,NA,NA,NA,a625nghu1mp3,-77.26426697,38.53173065
111228,112425,0,POTOMAC,0.156,LineString,a625ng77olfq,-77.26426697,38.53173065
NA,NA,NA,NA,NA,NA,a625ng77olfq,-77.30288696,38.46580887
NA,NA,NA,NA,NA,NA,a625ng77olfq,-77.27868652,38.38977051
116328,116639,9467,POTOMAC,0.068,LineString,a625nghllxh0,-76.39009094,38.0291214
NA,NA,NA,NA,NA,NA,a625nghllxh0,-76.32775116,38.00217056
3427,3480,3160,POWELL R,0.181,LineString,a625nggm6z3r,-124.3975983,49.92430115
NA,NA,NA,NA,NA,NA,a625nggm6z3r,-124.5711288,49.87310028
4657,4854,116424,PRESIDEN,0.192,LineString,a625ngj52qb1,-122.9311218,48.73448944
NA,NA,NA,NA,NA,NA,a625ngj52qb1,-123.0867233,48.62229919
29672,30052,1082,PRESUMPS,0.062,LineString,a625ng9w98oc,-70.24593353,43.6996994
